loss,val_loss
0.00962741207331419,0.004020739812403917
0.0024179285392165184,0.006125897169113159
0.002511813770979643,0.003471674397587776
0.0019875464495271444,0.003257585922256112
0.0018675217870622873,0.00396327767521143
0.0016134056495502591,0.0027629092801362276
0.0017145000165328383,0.0023187887854874134
0.0015584161737933755,0.002274711849167943
0.0015496822306886315,0.002468171762302518
0.0016068827826529741,0.0024735485203564167
0.001444905181415379,0.0021872695069760084
0.0012620767811313272,0.003609541105106473
0.0013802830362692475,0.003042119788005948
0.0013169465819373727,0.00217788596637547
0.001383282127790153,0.002634400734677911
0.0014331986894831061,0.00395992724224925
0.001401966786943376,0.001832050271332264
0.0011076030787080526,0.0017085312865674496
0.001100630033761263,0.0021107422653585672
0.001171389827504754,0.004526276607066393
0.0012509672669693828,0.003251729067414999
0.0011469385353848338,0.002573453588411212
0.0010580472880974412,0.001718975487165153
0.0010890408884733915,0.0015342788537964225
0.0010492008877918124,0.0018792019691318274
0.0013061893405392766,0.001964183058589697
0.0010098491329699755,0.001437847618944943
0.0012266194680705667,0.0014045204734429717
0.0009124990319833159,0.0015602785861119628
0.001173884840682149,0.0017129977932199836
0.001026709214784205,0.001541328732855618
0.001140364445745945,0.0013187864096835256
0.0009629373089410365,0.001597766182385385
0.0010367539944127202,0.0015188371762633324
0.0009622547659091651,0.001489997492171824
0.001078008790500462,0.0022678952664136887
0.0009344620048068464,0.0011745896190404892
0.0010584418196231127,0.0017232426907867193
0.000840245746076107,0.001223967527039349
0.0008660044986754656,0.001790801645256579
0.0010320404544472694,0.0011620617005974054
0.000959826516918838,0.0015492443926632404
0.0009456999832764268,0.0011723546776920557
0.0010901379864662886,0.0011179754510521889
0.0009965940844267607,0.0016430664109066129
0.0009195829043164849,0.0023067165166139603
0.0009635529713705182,0.001379729132167995
0.0010305936448276043,0.0011968916514888406
0.0010108756832778454,0.001456069410778582
0.000844901311211288,0.0016459589824080467
0.0010705838212743402,0.001938384142704308
0.0008419302175752819,0.0009766770526766777
0.0009427580516785383,0.0010274503147229552
0.0008671299437992275,0.0009883567690849304
0.0010615322971716523,0.0013671789783984423
0.0008863634429872036,0.0010322548914700747
0.0009372566710226238,0.0009760924149304628
0.0008275957661680877,0.000874555204063654
0.0010258263209834695,0.001196526805870235
0.0008962198626250029,0.0010987462010234594
0.0007929123821668327,0.0010692208306863904
0.0009227726841345429,0.0009118283051066101
0.000952645146753639,0.0009154273429885507
0.0007515607285313308,0.0009511064854450524
0.0007836372824385762,0.001571783795952797
0.00090997718507424,0.0008708625682629645
0.0008743460639379919,0.0012119626626372337
0.0009673031163401902,0.0008918357780203223
0.0007049613632261753,0.0010577640496194363
0.0010106000117957592,0.0009791275952011347
0.0009655236499384046,0.00130258419085294
0.000895122007932514,0.0010733160888776183
0.0008637436549179256,0.001009568222798407
0.0009658349445089698,0.0018138301093131304
0.0008851132588461041,0.0009334658388979733
0.001006414066068828,0.0018513763789087534
0.0009471693192608654,0.0015903202584013343
0.0008270969847217202,0.0015840654959902167
0.0007632466731593013,0.0014591722283512354
0.0008137173717841506,0.002408868633210659
0.0008659284212626517,0.0007761545712128282
0.0007904734811745584,0.0014586448669433594
0.001143048400990665,0.0008531201747246087
0.0008374251774512231,0.0008930455078370869
0.0008647370850667357,0.0010658358223736286
0.0007622549310326576,0.0007816997822374105
0.000995188602246344,0.0012666521361097693
0.001081586815416813,0.0014057804364711046
0.0007855083676986396,0.0007919613854028285
0.0009318987140432,0.0008319492335431278
0.0009067365899682045,0.0008553192019462585
0.0008614531252533197,0.0008773432928137481
0.0008826620178297162,0.0009223067318089306
0.0008314559236168861,0.0007212464697659016
0.0007673758664168417,0.0007123331306502223
0.0008268353412859142,0.0007205845322459936
0.0008203379111364484,0.0009343728888779879
0.0007982716779224575,0.0007288362830877304
0.0007893868605606258,0.0007121468079276383
0.0009384967270307243,0.0014018279034644365
